job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Unity Game Developer,Full Time,Autsera Limited,"Dokki, Giza",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Coding', 'Version Control', 'Code', 'Design', 'Game Studio', 'Data Structure', 'Creative', 'Software Engineering', 'Software Development', 'Information Technology (IT)', 'Game Development', 'Agile', 'Testing', 'API', 'Game Developer', 'C#', 'Code Structure', 'Educational Games', 'Game', 'Computer Science', 'OOP', 'Debugging', 'Graphics', 'Unity'"
Senior Security Engineer,Full Time,Ibn Sina Pharma,"New Cairo, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'","'computer', 'Computer Science', 'Network Engineering', 'Information Technology (IT)', 'Planning', 'Network Security', 'Networking', 'Security Systems', 'CCNP', 'CCNP Security', 'Networks', 'Engineering', 'Security', 'Communication', 'Software Development'"
Site Architecture Engineer - Finishing,Full Time,Elattal Holding ,"Sheraton, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Construction/Civil/Architecture', 'Creative/Design/Art'","'Microsoft Office', 'Site', 'TO', 'English', 'Finishing', 'Site Supervision', 'Architecture', 'Construction', 'Site Engineering', 'Site Management', 'Architecture Design', 'Architectural Engineering', 'Civil Engineering', 'Engineering', 'AutoCAD', 'Communication', 'Management'"
Sales Account Manager,Full Time,Capital IT,"Nasr City, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'10000 to 15000 EGP Per Month',"'Sales/Retail', 'IT/Software Development'","'management software', 'Dell', 'Cloud Computing', 'Engineering', 'Sales Skills', 'Routers', 'Networking', 'UCS', 'Switches', 'Network', 'Data Center', 'Unified Communication', 'Business Administration', 'Negotiation', 'IP Telephony', 'selling', 'UPS', 'Sales Target', 'light Current', 'APC', 'Cisco', 'Racks', 'MS Office', 'HP', 'Cabling', 'Business', 'Security', 'Communication', 'information technology', 'IT', 'surveillance', 'hikvision', 'account manager', 'Sales', 'schneider', 'CCTV', 'Customer Service', 'Marketing'"
Senior Sales Engineer,Full Time,EGID company,"New Cairo, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social Insurance, Medical Insurance & Semi-Annual Bonus'","'Sales/Retail', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Software', 'Computer Science', 'Information Technology (IT)', 'MS Office', 'Sales', 'Engineering'"
Sr. Cost Estimator Engineer,Full Time,Floortec,"Sheikh Zayed, Giza",'12 to 15 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Construction/Civil/Architecture', 'Project/Program Management'","'Architecture Engineering', 'estimation', 'business', 'Cost Control', 'Architecture', 'Construction', 'Cost', 'Cost Estimating', 'Engineering', 'Cost Estimation', 'Costing'"
Senior Performance Engineer,Full Time,Expleo,"Maadi, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical'","'DevOps', 'Testing', 'Agile', 'Performance', 'Engineering'"
Estimation Engineer,Full Time,Al Rabat,"New Cairo, Cairo",'More than 5 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical'","'Facade', 'Tendering', 'Civil Engineering', 'Engineering', 'Cost Estimation'"
Mechanical Engineer with BMS Experience,Full Time,Confidential Company - ,"New Cairo, Cairo",'Not Specified','Experienced (Non-Manager)',"""Bachelor's Degree""","'Gender:', 'Male'",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical'"
Devops Engineer,Full Time,Beyond Solution,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Medical ,Social & Life Insurance'","'Engineering - Telecom/Technology', 'IT/Software Development'","'Linux', 'Software', 'Computer Science', 'Information Technology (IT)', 'DevOps', 'CI/CD', 'Agile', 'Kubernetes', 'Engineering', 'Python', 'Docker', 'Software Development'"
Electrical Engineer,Full Time,Global Medical Solutions International ,"Cairo, Egypt",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Engineering - Mechanical/Electrical',"'Electrical', 'Electrical Engineering', 'Engineering'"
