job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools,Job,skills
Senior Data Analyst PC Retail,Full Time,Allianz,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Data Analyst,Full Time,Aman Holding,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Data', 'Analytical Skills', 'Analytical Skills', 'English']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Data', 'Analytical Skills', 'Analytical Skills', 'English']"
Data Analyst,Full Time,Dough and More Food Industries,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","['Relational Databases', 'Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Data', 'Analytical Skills']",Data Analyst,"['Relational Databases', 'Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Data', 'Analytical Skills']"
Repair Order Specialist (Data Analyst),Full Time,OPPO Egypt ,"Nasr City, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Gender:', 'Male'",'Confidential',['Analytical Skills'],Data Analyst,['Analytical Skills']
Data Analyst,Full Time,B.TECH,"Nasr City, Cairo",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Analyst/Research'","['Analytical Skills', 'Analytical Skills', 'Tableau', 'SQL', 'Power BI']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Tableau', 'SQL', 'Power BI']"
Senior Digital Data Analyst,Full Time,Jazeera Paints,"10th of Ramadan City, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Transportation , Social Insurance ,Medical Insurance'","'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'English', 'Data', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'English', 'Data', 'Analytical Skills']"
Senior Market Research Analyst,Full Time,Gap Polymers ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social & medical insurance'","'Analyst/Research', 'Marketing/PR/Advertising', 'Business Development'","['Data Entry', 'Data Collection', 'Data']",Data Analyst,"['Data Entry', 'Data Collection', 'Data']"
Sales Analyst,Full Time,Sun Pharma,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","['Analytical Skills', 'Analytical Skills', 'Data']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Data']"
Senior Business Analyst,Full Time,BI-Technologies,"New Cairo, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Profit Share, Transportation, Medical Insurance, Social Insurance, Life Insurance And Retirement Plan'","'Analyst/Research', 'IT/Software Development'","['Analytical Skills', 'Data']",Data Analyst,"['Analytical Skills', 'Data']"
Marketing Research Analyst,Full Time,Careery For Talent Services ,"Nasr City, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'","['Analytical Skills', 'Data Collection']",Data Analyst,"['Analytical Skills', 'Data Collection']"
System Analyst,Full Time,Qsource,"Maadi, Cairo",'3 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Design Patterns']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Design Patterns']"
Data Analyst,Full Time,Anasia Egypt for Trading,"Sheraton, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential','Analyst/Research',"['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Power BI']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Power BI']"
Senior Investment Analyst,Full Time,M² Developments,"Mohandessin, Giza",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research', 'Banking'","['Analytical Skills', 'Analytical Skills', 'Data']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Data']"
Data Quality Assurance Analyst Engineer,Full Time,Z2 Data,"Banha, Qalubia",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","['python', 'Analytical Skills', 'Analytical Skills', 'SQL']",Data Analyst,"['python', 'Analytical Skills', 'Analytical Skills', 'SQL']"
Data Analyst,Full Time,JoviTronix ,"Sheikh Zayed, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'6000 to 7000 EGP Per Month',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Statistics', 'Data']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Statistics', 'Data']"
Medical Data Analyst & Program Creation,Full Time,Andalusia Maadi Hospital ,"Maadi, Cairo",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Medical/Healthcare', 'Pharmaceutical'","['Medical', 'Analytical Skills', 'Analytical Skills', 'Data']",Data Analyst,"['Medical', 'Analytical Skills', 'Analytical Skills', 'Data']"
Workforce Analyst,Full Time,Sykes Enterprises,"Maadi, Cairo",'More than 1 year','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Customer Service/Support'","['Analytical Skills', 'Analytical Skills', 'Power BI', 'SQL']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Power BI', 'SQL']"
System Analyst,Full Time,Alrayda Elkobra,"Moharam Bek, Alexandria",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Software Senior Business Analyst,Full Time,Softec Technologies,"Maadi, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Project/Program Management'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Senior Business Analyst,Full Time,Caelum Egypt,"Dokki, Giza",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Data']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Data']"
Sales Analyst,Full Time,Fatura ,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Financial Analyst,Full Time,Cairoscan,"Mohandessin, Giza",'5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research', 'Banking'",['English'],Data Analyst,['English']
Research Analyst & Market Researcher,Full Time,Icity,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'",['Analytical Skills'],Data Analyst,['Analytical Skills']
Business Analyst (Salesforce),Full Time,FlairsTech,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Power BI']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Analytical Skills', 'Power BI']"
Sales Analyst,Full Time,Cairo Three A  for Agricultural and Animal Production,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Senior System Analyst,Full Time,FlairsTech,"Maadi, Cairo",'5 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Development', 'Design Patterns', 'Analytical Skills', 'Agile']",Data Analyst,"['Analytical Skills', 'Development', 'Design Patterns', 'Analytical Skills', 'Agile']"
Financial Analyst - French Speaker,Full Time,World Vest Base (WVB ),"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Accounting/Finance', 'Analyst/Research'","['Analytical Skills', 'Oracle DB']",Data Analyst,"['Analytical Skills', 'Oracle DB']"
Process Improvement Senior Analyst (French Speaker),Full Time,Xceed,"6th of October, Giza",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Bonus - Profit Share'",'Analyst/Research',"['Analytical Skills', 'Analytical Skills', 'Six Sigma', 'English']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Six Sigma', 'English']"
Data Governance Expert,Full Time,World of systems and software,"New Cairo, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Data Management', 'Data Governance', 'Database SQL Server', 'Data Entry', 'Data Governance (DG)']",Data Analyst,"['Data Management', 'Data Governance', 'Database SQL Server', 'Data Entry', 'Data Governance (DG)']"
Data Scientist,Full Time,Paymob Solutions,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Machine Learning', 'python', 'Data Science', 'Amazon Web Services', 'Hadoop', 'Java', 'Statistics', 'SQL', 'Data']",Data Analyst,"['Machine Learning', 'python', 'Data Science', 'Amazon Web Services', 'Hadoop', 'Java', 'Statistics', 'SQL', 'Data']"
Work Force Analyst,Full Time,Xceed,"6th of October, Giza",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Bonus, Profit Share'",'Analyst/Research',"['CSR', 'Analytical Skills', 'Microsoft PowerPoint', 'English', 'Reasearch']",Data Analyst,"['CSR', 'Analytical Skills', 'Microsoft PowerPoint', 'English', 'Reasearch']"
Market Research Analyst,Full Time,System Technique,"Abu Rawash, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Marketing/PR/Advertising'","['Analytical Skills', 'Statistics', 'Data Collection']",Data Analyst,"['Analytical Skills', 'Statistics', 'Data Collection']"
Data Collector,Full Time,Catalogz Technology,"New Cairo, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'4000 to 6000 EGP Per Month',"'Analyst/Research', 'Administration'","['Data Entry', 'Data Collection']",Data Analyst,"['Data Entry', 'Data Collection']"
Data Engineer,Full Time,Paymob Solutions,"Maadi, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Design Patterns', 'Amazon Web Services', 'Hadoop', 'Java', 'Cloud Computing', 'Data', 'Scala']",Data Analyst,"['Design Patterns', 'Amazon Web Services', 'Hadoop', 'Java', 'Cloud Computing', 'Data', 'Scala']"
Data Engineer,Full Time,Ashtar.app,"Maadi, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['python', 'Analytical Skills', 'Data Science', 'Analytical Skills', 'Data', 'Big Data', 'SQL', 'ETL', 'Power BI']",Data Analyst,"['python', 'Analytical Skills', 'Data Science', 'Analytical Skills', 'Data', 'Big Data', 'SQL', 'ETL', 'Power BI']"
Senior Performance Analyst,Full Time,Raya Customer Experience,"Maadi, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Operations/Management', 'IT/Software Development', 'Analyst/Research'","['Analytical Skills', 'Analytical Skills', 'Six Sigma Green Belt']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Six Sigma Green Belt']"
Senior System Analyst - Software,Full Time,Rasan,"Nasr City, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Design Patterns', 'Analytical Skills', 'Agile', 'Database', 'SQL']",Data Analyst,"['Design Patterns', 'Analytical Skills', 'Agile', 'Database', 'SQL']"
Senior Business Analyst - Cairo,Full Time,Gulf United Group,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'10000 to 18000 EGP Per Month',"'Analyst/Research', 'IT/Software Development'","['Analytical Skills', 'Data', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Data', 'Analytical Skills']"
Risk Officer/ Analyst,Full Time,Adm-Medsofts,"New Cairo, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Analyst/Research',['Analytical Skills'],Data Analyst,['Analytical Skills']
Senior Business Analyst Corporate Loan Origination,Full Time,Veripark,"Cairo, Egypt",'10 to 20 years','Experienced (Non-Manager)','Not Specified','Confidential','Banking',"['BRD', 'Analytical Skills']",Data Analyst,"['BRD', 'Analytical Skills']"
Planning Analyst,Full Time,Cilantro,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Manufacturing/Production', 'Analyst/Research'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Business Research Analyst-Marketing Research,Full Time,Nile Projects & Trading,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Quarter Profit Share + Annual Fixed Bonus'","'Analyst/Research', 'Marketing/PR/Advertising'",[],Data Analyst,[]
Senior Business Analyst,Full Time,e-finance,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Analytical Skills', 'Data', 'Documentation', 'English']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Data', 'Documentation', 'English']"
Business Analyst,Full Time,BBI-Consultancy,"Nasr City, Cairo",'6 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","['Analytical Skills', 'Data Management', 'Analytical Skills', 'Tableau', 'SQL', 'SAP', 'Data']",Data Analyst,"['Analytical Skills', 'Data Management', 'Analytical Skills', 'Tableau', 'SQL', 'SAP', 'Data']"
BI Analyst,Full Time,Perfect Presentation,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'Power BI', 'SQL', 'Power BI', 'Power BI']",Data Analyst,"['Analytical Skills', 'Power BI', 'SQL', 'Power BI', 'Power BI']"
Senior Financial Analyst,Full Time,Contact,"Downtown, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Bonus, Social Security, Medical Insurance'",'Accounting/Finance',"['English', 'Analytical Skills']",Data Analyst,"['English', 'Analytical Skills']"
Statistical Analyst,Freelance / Project,prosylab,"Jizan, Saudi Arabia",'10 to 11 years','Experienced (Non-Manager)',"""Master's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","['Analytical Skills', 'Analytical Skills', 'Statistics']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Statistics']"
Senior System Analyst,Full Time,Pylon UMP,"New Cairo, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'",['Analytical Skills'],Data Analyst,['Analytical Skills']
Data Management Specialist,Full Time,M.Srour,"Imbaba, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'4000 to 5000 EGP Per Month, Working hours:\n10am - 7pm and one day off.'","'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Analytical Skills', 'python', 'NumPy', 'English', 'Power BI', 'Analytical Skills', 'Power BI', 'Power BI', 'Analytical Skills', 'Analytical Skills', 'Data Entry', 'Pandas']",Data Analyst,"['Analytical Skills', 'python', 'NumPy', 'English', 'Power BI', 'Analytical Skills', 'Power BI', 'Power BI', 'Analytical Skills', 'Analytical Skills', 'Data Entry', 'Pandas']"
Data Scientist,Full Time,Mobica,"Giza, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['python', 'Data Science', 'SQL', 'SAP', 'Data']",Data Analyst,"['python', 'Data Science', 'SQL', 'SAP', 'Data']"
Data Scientist,Full Time,Chefaa IT,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['python', 'Data Science', 'Statistics', 'SQL', 'Mathematics', 'Data', 'Hadoop']",Data Analyst,"['python', 'Data Science', 'Statistics', 'SQL', 'Mathematics', 'Data', 'Hadoop']"
Data Science Supervisor,Full Time,Raya Customer Experience,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'R&D/Science', 'Customer Service/Support'","['python', 'Analytical Skills', 'SQL', 'MySQL', 'ETL', 'Data', 'Power BI']",Data Analyst,"['python', 'Analytical Skills', 'SQL', 'MySQL', 'ETL', 'Data', 'Power BI']"
Merchandising Analyst,Full Time,Alhokair Fashion Retail,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'",['Analytical Skills'],Data Analyst,['Analytical Skills']
Market/Brand Strategist/Analyst,Full Time,IMS,"Cairo, Egypt Not Verified",'2 to 4 years','Experienced (Non-Manager)','Not Specified','Confidential','Marketing/PR/Advertising',[],Data Analyst,[]
Senior Digital Analyst,Full Time,OSN,"6th of October, Giza",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'",['Analytical Skills'],Data Analyst,['Analytical Skills']
Data Scientist - For USA (Remotely),Full Time,Mobile Wave 3,"Cairo, Egypt",'10 to 17 years','Manager ',"""Master's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","['Machine Learning', 'Analytical Skills', 'applied statistics', 'Data Science', 'Analytical Skills', 'Clustering', 'Matlab', 'Analytical Skills', 'Data']",Data Analyst,"['Machine Learning', 'Analytical Skills', 'applied statistics', 'Data Science', 'Analytical Skills', 'Clustering', 'Matlab', 'Analytical Skills', 'Data']"
Power BI Developer,Full Time,Transmar International ,"New Cairo, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","['Power BI', 'MS SQL', 'SQL', 'Data', 'Power BI']",Data Analyst,"['Power BI', 'MS SQL', 'SQL', 'Data', 'Power BI']"
Head of Data Analysis,Full Time,Zeina Group,"Sheikh Zayed, Giza",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","['Analytical Skills', 'Analytical Skills', 'Database', 'Statistics', 'SQL']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'Database', 'Statistics', 'SQL']"
VOC and Analytics Specialist,Full Time,Maxab,"Cairo, Egypt",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Project/Program Management'","['Analytical Skills', 'Analytical Skills']",Data Analyst,"['Analytical Skills', 'Analytical Skills']"
Budget & Costing Section Head,Full Time,Shiny White Dental Center ,"Heliopolis, Cairo",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","['Analytical Skills', 'Analytical Skills', 'English']",Data Analyst,"['Analytical Skills', 'Analytical Skills', 'English']"
Research & Innovation (Materials and Biopolymers),Internship,Chitosan.egypt,"Giza, Giza",'Not Specified','Entry Level (Junior Level / Fresh Grad)','Not Specified','unpaid',"'Analyst/Research', 'R&D/Science', 'Manufacturing/Production'","['Medical', 'Analytical Skills', 'R&D', 'Analytical Skills', 'Data Collection']",Data Analyst,"['Medical', 'Analytical Skills', 'R&D', 'Analytical Skills', 'Data Collection']"
Research Assistant Internship,Internship,Chitosan.egypt,"Giza, Giza",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)','Not Specified','unpaid',"'Analyst/Research', 'R&D/Science', 'Pharmaceutical'","['Medical', 'Analytical Skills', 'R&D', 'Analytical Skills', 'Data Collection']",Data Analyst,"['Medical', 'Analytical Skills', 'R&D', 'Analytical Skills', 'Data Collection']"
Senior Big Data Engineers,Full Time,BBI-Consultancy,"Abu Dhabi, United Arab Emirates",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Banking'","['Data Science', 'Kafka', 'Spark', 'Big Data', 'python']",Data Engineer,"['Data Science', 'Kafka', 'Spark', 'Big Data', 'python']"
Senior Data Engineer,Full Time,Andela,"Cairo, Egypt",'2 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Data Warehouse', 'Data Science', 'Data', 'EC2']",Data Engineer,"['Data Warehouse', 'Data Science', 'Data', 'EC2']"
Big Data Engineer,Full Time,Worex,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'9000 to 15000 EGP Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Kafka', 'Data', 'Spark', 'NoSQL', 'Big Data', 'Hadoop']",Data Engineer,"['Kafka', 'Data', 'Spark', 'NoSQL', 'Big Data', 'Hadoop']"
Data Center Engineer,Full Time,Perfect Presentation,"6th of October, Giza",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'",[],Data Engineer,[]
Data Engineer,Full Time,Paymob Solutions,"Maadi, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Cloud Computing', 'Amazon Web Services', 'Scala', 'Java', 'Data', 'Hadoop', 'Design Patterns']",Data Engineer,"['Cloud Computing', 'Amazon Web Services', 'Scala', 'Java', 'Data', 'Hadoop', 'Design Patterns']"
Data Engineer,Full Time,Ashtar.app,"Maadi, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Power BI', 'SQL', 'Data Science', 'Data', 'ETL', 'Analytical Skills', 'Big Data', 'python', 'Analytical Skills']",Data Engineer,"['Power BI', 'SQL', 'Data Science', 'Data', 'ETL', 'Analytical Skills', 'Big Data', 'python', 'Analytical Skills']"
Data Engineer,Full Time,SSC Egypt,"Giza, Egypt",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Power BI', 'SQL', 'Data', 'Power BI', 'NoSQL', 'Azure DevOps Server', 'python']",Data Engineer,"['Power BI', 'SQL', 'Data', 'Power BI', 'NoSQL', 'Azure DevOps Server', 'python']"
Network Data Center Engineer,Full Time,BBI-Consultancy,"Smart Village, Giza",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'",[],Data Engineer,[]
Data Center Maintenance Engineer - Cairo,Full Time,Click ITS,"Nasr City, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering - Telecom/Technology'","['Data center', 'Mechanical']",Data Engineer,"['Data center', 'Mechanical']"
Data Scientist,Full Time,Fixed Solutions,"Sheraton, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Java', 'SQL', 'Data Science', 'Statistics', 'Data Mining', 'Machine Learning', 'python', 'Analytical Skills']",Data Engineer,"['Java', 'SQL', 'Data Science', 'Statistics', 'Data Mining', 'Machine Learning', 'python', 'Analytical Skills']"
Data Scientist,Full Time,Paymob Solutions,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Amazon Web Services', 'Java', 'SQL', 'Data Science', 'Statistics', 'Data', 'python', 'Machine Learning', 'Hadoop']",Data Engineer,"['Amazon Web Services', 'Java', 'SQL', 'Data Science', 'Statistics', 'Data', 'python', 'Machine Learning', 'Hadoop']"
Data Migration Architect,Full Time,Grafene Consulting,"Cairo, Egypt",'12 to 14 years','Manager ',"""Bachelor's Degree""",'Confidential',"'Strategy/Consulting', 'Engineering - Other'","['Data', 'Data Migration', 'ETL', 'Oracle DB', 'Oracle DB']",Data Engineer,"['Data', 'Data Migration', 'ETL', 'Oracle DB', 'Oracle DB']"
Data Engineer,Full Time,Z2 Data,"Banha, Qalubia",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Engineering - Mechanical/Electrical'","['Data', 'Data Management', 'Analytical Skills']",Data Engineer,"['Data', 'Data Management', 'Analytical Skills']"
Data Quality Assurance Analyst Engineer,Full Time,Z2 Data,"Banha, Qalubia",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","['SQL', 'Analytical Skills', 'python', 'Analytical Skills']",Data Engineer,"['SQL', 'Analytical Skills', 'python', 'Analytical Skills']"
Data Management Administrator,Full Time,Xceed,"Maadi, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Profit Share'","'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'","['English', 'SQL', 'Application Development', 'Linux OS']",Data Engineer,"['English', 'SQL', 'Application Development', 'Linux OS']"
