job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Market Research Analyst,Full Time,System Technique,"Abu Rawash, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Marketing/PR/Advertising'","'E-Marketing', 'Analysis', 'Research', 'Web Analytics', 'Statistics', 'Market Research', 'Social Media', 'Data Collection', 'CRM', 'Marketing'"
Senior Corporate Financial Analyst,Full Time,Confidential Company - ,"New Cairo, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'analytical', 'SAP FICO', 'business', 'Finance', 'Commerce', 'Financial Analysis', 'SAP', 'Construction', 'Accounting'"
Data Collector,Full Time,Catalogz Technology,"New Cairo, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'4000 to 6000 EGP Per Month',"'Analyst/Research', 'Administration'","'Communication skills', 'Business Development', 'Commercial', 'Communication', 'Data Entry', 'Data Collection', 'Lead Generation'"
Data Engineer,Full Time,Paymob Solutions,"Maadi, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Information Technology (IT)', 'Design', 'AWS', 'Hadoop', 'Java', 'Engineering', 'Cloud', 'Programming', 'Computer Science', 'Data', 'Scala'"
Data Engineer,Full Time,Ashtar.app,"Maadi, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Python', 'Analysis', 'Data Science', 'Data Analysis', 'Data', 'Software Development', 'Big Data', 'SQL', 'ETL', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'BI'"
Senior Performance Analyst,Full Time,Raya Customer Experience,"Maadi, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Operations/Management', 'IT/Software Development', 'Analyst/Research'","'Business Analysis', 'Analysis', 'MIS', 'excel', 'Computer Science', 'Information Technology (IT)', 'Performance Analysis', 'Six Sigma Green Belt'"
Senior System Analyst - Software,Full Time,Rasan,"Nasr City, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Design', 'Analysis', 'System Analysis', 'Agile', 'Database', 'Software', 'Software Development', 'SQL', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Information Systems'"
Senior Business Analyst - Cairo,Full Time,Gulf United Group,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'10000 to 18000 EGP Per Month',"'Analyst/Research', 'IT/Software Development'","'Information technology', 'Business Analysis', 'IT', 'Business Development', 'business', 'Data', 'Implementation', 'Information Technology (IT)', 'Analyst'"
Risk Officer/ Analyst,Full Time,Adm-Medsofts,"New Cairo, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Analyst/Research',"'Market Research', 'Risk Management', 'Analysis', 'Research'"
Senior Business Analyst Corporate Loan Origination,Full Time,Veripark,"Cairo, Egypt",'10 to 20 years','Experienced (Non-Manager)','Not Specified','Confidential','Banking',"'BRD', 'Business Analysis', 'loan origination', 'corporate loans'"
